ID;Genero;Edad;Aprendo mejor leyendo lo que el maestro escribe en la pizarra;Cuando leo las instrucciones las recuerdo mejor;Entiendo mejor cuando leo las instrucciones;Aprendo mejor leyendo que escuchando a alguien;Aprendo mas leyendo libros de texto que escuchando conferencias;Cuando el profesor me dice las instrucciones entiendo mejor;Cuando alguien me dice como hacer algo en clase lo aprendo mejor;Recuerdo las cosas que he escuchado en clase mejor que las cosas que he leido;Aprendo mejor en clase cuando el profesor da una conferencia;Aprendo mejor en clase cuando escucho a alguien;Prefiero aprender haciendo algo en clase;Cuando hago cosas en clase aprendo mejor;Me gusta aprender en clase haciendo experimentos;Entiendo mejor las cosas en clase cuando participo en juegos de rol;Te resulta mas facil aprender algo cuando puedes hacerlo tu mismo en lugar de solo escuchar o leer sobre ello
10011153;Femenino;18;4;4;3;3;4;2;5;4;3;4;2;4;2;3;5
10011154;Femenino;18;4;4;3;3;4;2;5;4;3;4;2;4;2;3;5
10011155;Masculino;21;3;2;4;1;3;4;1;3;2;1;3;2;3;1;5
10011156;Masculino;19;2;2;1;3;4;4;4;5;4;5;4;4;4;4;5
10011157;Femenino;18;4;4;3;4;4;3;4;4;3;3;3;4;3;4;5
10011158;Femenino;19;4;3;4;4;4;2;3;4;3;4;3;5;3;3;5
10011159;Femenino;18;3;4;3;3;3;4;3;2;4;4;4;3;4;3;5
10011160;Femenino;18;4;4;2;4;2;4;3;3;4;2;4;2;4;2;5
10011161;Masculino;18;4;3;2;3;2;4;4;2;4;2;4;2;4;3;5
10011162;Femenino;20;5;3;2;2;2;4;4;2;3;3;3;3;3;2;5
10011163;Masculino;16;4;4;3;4;4;2;4;4;2;4;2;5;2;4;5
10011164;Femenino;18;3;3;2;4;4;4;2;3;3;2;4;1;3;1;5
10011165;Femenino;19;4;3;2;2;2;4;2;4;4;2;3;4;3;4;5
10011166;Femenino;18;3;4;2;4;2;3;2;4;3;2;3;2;5;3;5
10011167;Femenino;18;4;4;2;4;2;3;4;2;4;2;3;4;3;1;5
10011168;Masculino;19;3;4;4;2;2;4;3;3;4;3;2;4;3;3;5
10011169;Masculino;21;3;4;2;4;2;3;4;2;4;3;4;4;3;4;5
10011170;Masculino;19;4;5;2;4;4;3;3;2;2;3;2;4;2;4;5
10011171;Masculino;17;3;3;4;1;3;4;1;2;3;2;2;3;3;2;5
10011172;Masculino;21;3;2;1;2;3;2;3;2;2;2;3;2;1;2;5
10011173;Femenino;18;3;5;2;4;2;3;3;3;2;3;1;3;1;2;5
10011174;Masculino;18;2;4;2;3;2;3;3;3;2;1;3;2;1;3;5
10011175;Masculino;16;2;4;3;1;3;1;3;2;4;2;3;2;2;4;5
10011176;Femenino;18;4;3;2;3;2;2;4;3;1;4;3;1;3;3;5
10011177;Masculino;19;3;2;1;4;2;2;4;2;3;2;3;1;3;2;5
10011178;Femenino;19;4;4;2;4;2;4;5;3;2;3;2;3;2;3;5
10011179;Femenino;20;3;4;3;3;3;2;3;2;3;2;2;2;1;2;5
10011180;Masculino;21;4;3;4;1;1;3;2;3;3;3;4;3;3;3;5
10011181;Masculino;20;4;4;3;2;2;3;3;2;3;2;3;1;2;3;5
10011182;Masculino;21;5;3;1;2;2;1;3;2;2;2;2;1;2;4;5
10011183;Masculino;19;3;4;2;3;2;4;3;3;2;2;2;4;4;3;5
10011184;Masculino;19;3;1;2;4;3;1;4;3;2;1;4;4;2;5;5
10011185;Masculino;17;4;4;3;5;4;4;4;5;3;3;3;5;2;4;5
10011186;Femenino;17;4;3;4;4;2;2;5;3;4;3;3;5;4;3;5
10011187;Femenino;18;4;3;3;4;5;4;4;4;2;4;2;4;4;4;5
10011188;Masculino;21;4;3;4;2;2;3;2;2;3;3;2;3;2;2;5
10011189;Masculino;21;3;2;2;3;2;2;2;1;2;3;2;3;1;1;5
10011190;Masculino;16;4;2;1;3;3;3;1;2;2;2;4;2;4;3;5
10011191;Femenino;19;2;3;4;3;4;3;4;3;3;3;5;5;5;4;5
10011192;Masculino;21;5;4;3;3;3;3;3;4;3;3;3;3;5;1;5
10011193;Masculino;18;4;5;2;4;3;4;4;3;4;3;3;2;3;3;5
10011194;Femenino;17;4;4;2;3;4;5;2;4;3;3;3;3;3;2;5
10011195;Femenino;19;4;4;2;4;4;4;2;3;4;3;4;2;3;3;5
10011196;Masculino;21;3;4;2;4;4;2;5;3;3;4;2;3;4;4;5
10011197;Masculino;20;4;4;3;5;4;3;4;4;5;3;4;3;3;2;5
10011198;Masculino;20;5;4;3;3;5;4;2;3;3;2;3;2;2;4;5
10011199;Masculino;21;3;5;1;5;3;4;3;3;3;2;3;2;4;2;5
10011200;Femenino;19;2;4;2;3;4;2;3;4;2;5;3;3;5;2;5
10011201;Femenino;20;4;3;3;4;3;4;3;4;4;2;3;3;2;4;5
10011202;Masculino;17;4;2;2;4;3;3;3;2;4;1;2;3;3;2;5
10011203;Femenino;18;4;3;2;3;5;2;4;2;3;3;4;2;5;2;5
10011204;Femenino;18;4;4;2;3;4;3;4;2;3;4;2;4;4;2;5
10011205;Femenino;18;5;4;2;4;4;5;2;4;2;4;4;3;4;1;5
10011206;Femenino;18;5;4;2;4;4;5;2;4;2;4;4;3;4;1;5
10011207;Femenino;19;5;4;2;3;4;4;2;4;4;2;4;4;2;4;5
10011208;Femenino;18;5;4;3;4;2;4;3;4;4;3;4;3;3;4;5
10011209;Masculino;17;4;4;3;3;2;4;5;2;4;3;4;2;2;4;5
10011210;Masculino;19;4;2;5;3;4;3;4;4;3;3;4;3;3;2;5
10011211;Masculino;20;4;4;1;3;2;4;1;3;2;4;2;3;3;2;5
10011212;Femenino;17;2;4;4;2;4;3;4;4;2;4;3;3;4;3;5
10011213;Masculino;21;3;3;2;3;4;2;4;4;3;2;4;3;2;3;5
10011214;Masculino;21;4;3;2;5;5;4;5;3;4;4;3;4;4;3;5
10011215;Femenino;17;4;4;3;3;4;4;3;2;4;3;3;4;2;4;5
10011216;Masculino;17;4;4;2;3;3;2;4;4;3;1;3;4;2;4;5
10011217;Masculino;20;3;4;3;4;3;3;2;3;3;3;4;3;3;2;5
10011218;Masculino;18;3;5;3;4;3;4;3;3;3;4;4;4;3;4;5
10011219;Masculino;19;5;5;3;3;2;3;4;4;3;3;4;3;3;4;5
10011220;Femenino;18;3;2;4;3;3;3;5;2;4;3;2;4;3;4;5
10011221;Femenino;18;3;5;3;3;4;2;4;4;3;3;4;2;2;3;5
10011222;Masculino;18;4;5;3;4;5;2;4;3;4;3;4;4;4;3;5
10011223;Femenino;19;5;4;2;4;5;3;4;3;4;3;4;4;3;3;5
10011224;Masculino;21;3;4;2;4;2;4;3;4;2;4;4;3;2;3;5
10011225;Femenino;19;5;4;3;3;4;2;3;4;3;4;4;3;3;4;5
10011226;Femenino;19;4;4;2;3;4;4;3;3;4;2;4;4;3;2;5
10011227;Femenino;20;4;4;4;2;4;4;4;3;3;3;2;3;3;4;5
10011228;Femenino;19;5;4;4;2;3;5;4;3;3;2;4;2;3;5;5
10011229;Femenino;18;4;4;5;2;4;4;3;2;3;4;3;3;4;3;5
10011230;Femenino;20;4;4;2;3;4;2;4;4;3;2;4;2;4;3;5
10011231;Femenino;19;5;4;3;3;5;3;4;3;3;4;2;3;4;3;5
10011232;Femenino;17;4;4;2;4;2;3;4;4;3;3;3;4;3;2;5
10011233;Femenino;18;5;3;2;4;4;3;2;4;3;3;4;3;3;4;5
10011234;Masculino;19;4;3;2;5;4;5;3;3;4;2;5;4;3;4;5
10011235;Femenino;18;4;3;4;3;4;3;3;2;3;3;2;2;4;3;5
10011236;Femenino;20;5;3;3;5;4;4;2;5;3;4;3;4;4;2;5
10011237;Masculino;19;4;4;3;3;5;3;3;4;2;4;4;2;3;4;5
10011238;Femenino;19;4;4;4;4;2;4;5;4;3;4;4;2;3;4;5
10011239;Femenino;20;4;4;3;4;4;2;4;2;5;2;4;3;4;4;5
10011240;Femenino;17;5;2;5;3;3;2;3;3;3;2;4;4;2;2;5
10011241;Masculino;18;3;5;4;3;4;3;3;3;5;5;4;3;4;4;5
10011242;Masculino;19;3;4;3;5;3;3;5;5;4;3;4;4;1;4;5
10011243;Masculino;19;4;4;3;3;5;3;3;4;2;4;4;2;3;4;5
10011244;Masculino;21;4;4;5;3;2;3;3;3;2;3;2;4;4;2;5
10011245;Masculino;19;5;5;4;4;2;4;3;5;3;3;5;5;3;3;5
10011246;Femenino;17;4;4;3;5;3;4;3;4;3;5;4;4;4;4;5
10011247;Femenino;17;4;5;4;3;4;4;4;2;4;3;4;3;2;4;5
10011248;Masculino;19;4;4;4;3;3;4;3;3;4;2;4;3;4;4;5
10011249;Masculino;19;4;3;5;3;4;3;3;3;4;3;5;3;4;5;5
10011250;Masculino;19;5;5;3;4;3;4;4;3;5;3;3;4;3;3;5
10011251;Masculino;19;4;5;3;5;2;3;4;4;2;4;4;4;3;4;5
10011252;Femenino;17;4;3;3;4;5;3;4;3;4;2;5;2;4;4;5
10011253;Femenino;18;5;4;4;4;3;4;3;3;3;2;3;4;3;5;5
10011254;Masculino;19;4;4;3;4;3;2;4;3;3;4;3;3;2;4;5
10011255;Femenino;21;3;3;4;4;3;4;4;3;5;3;3;4;3;3;5
10011256;Femenino;18;5;4;2;3;4;3;4;3;2;4;2;4;4;2;5
10011257;Femenino;19;5;3;5;4;3;5;2;3;4;3;4;4;2;5;5
10011258;Femenino;17;4;4;3;3;3;3;4;3;4;4;3;2;5;3;5
10011259;Femenino;19;4;4;3;4;5;3;4;3;4;3;2;4;4;2;5
10011260;Femenino;17;4;3;3;4;2;3;3;4;4;3;5;2;4;3;5
10011261;Femenino;17;2;3;4;3;2;3;4;2;2;4;2;4;2;4;5
10011262;Femenino;17;5;3;3;4;4;4;1;3;2;4;2;5;3;5;5
10011263;Femenino;15;4;5;4;3;3;3;3;4;4;3;3;5;2;2;5
10011264;Femenino;17;4;4;2;3;2;2;3;2;4;2;4;2;5;2;5
10011265;Femenino;19;3;2;5;3;4;4;5;3;4;2;4;2;4;4;5
10011266;Femenino;18;4;3;5;2;4;3;4;4;2;4;2;4;2;4;5
10011267;Femenino;19;5;3;4;4;2;4;2;4;3;5;3;2;3;4;5
10011268;Masculino;19;5;4;3;5;3;4;4;2;4;2;5;2;3;4;5
10011269;Femenino;20;5;3;4;2;4;2;4;2;2;5;3;4;3;3;5
10011270;Femenino;19;4;3;4;4;4;2;2;3;3;2;2;4;4;5;5
10011271;Femenino;19;4;3;5;2;4;4;4;4;3;4;3;4;3;4;5
10011272;Femenino;19;3;3;3;5;3;2;4;2;2;5;3;3;4;3;5
10011273;Femenino;19;1;3;3;4;3;4;4;4;3;4;3;4;4;4;5
10011274;Masculino;18;4;4;3;3;2;3;3;3;4;4;2;4;3;3;5
10011275;Femenino;19;4;3;4;3;2;3;3;3;3;3;4;4;4;2;5
10011276;Femenino;19;4;3;3;4;3;3;3;3;5;3;4;3;3;3;5
10011277;Masculino;19;4;3;3;5;4;3;3;4;3;3;4;3;3;4;5
10011278;Masculino;20;1;4;2;3;2;2;2;3;3;2;3;3;2;3;5
10011279;Femenino;18;4;3;3;2;3;2;2;3;3;2;2;3;3;3;5
10011280;Masculino;16;4;4;3;2;4;3;3;2;3;3;4;3;4;2;5
10011281;Masculino;17;4;4;2;4;2;3;2;2;2;1;2;2;3;2;5
10011282;Masculino;16;2;3;2;2;2;2;2;2;2;2;2;2;1;2;5
10011283;Femenino;16;3;1;2;3;3;3;4;3;2;3;4;3;3;3;5
10011284;Femenino;15;4;3;3;3;2;3;2;2;2;4;2;2;2;3;5
